;Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);QTD. DE HORAS DE FRIO (< 7.2°C), DIARIA (MAIO - AGOSTO);QTD. DE HORAS TEMP. IDEAL (18°C - 23 C°), DIARIA (SETEMBRO - ABRIL);QTD. DE HORAS TEMP. PREJUDICIAL (> 27 C°), DIARIA (SETEMBRO - ABRIL);PRECIPITACAO TOTAL, DIARIO (AUT)(mm) (SETEMBRO - ABRIL);SAFRA
0;2009-05-01;0.0;910.0;9.7;20.9;13.8;8.2;78.8;46.0;9.0;3.8;0;0;0;0.0;2010
1;2009-05-02;0.0;909.4;9.4;21.8;14.4;8.6;75.5;39.0;9.5;3.3;0;0;0;0.0;2010
2;2009-05-03;0.2;907.8;8.1;21.9;14.1;8.3;72.0;29.0;9.2;3.6;0;0;0;0.0;2010
3;2009-05-04;0.0;905.7;11.3;22.0;15.3;8.7;79.1;52.0;10.2;4.2;0;0;0;0.0;2010
4;2009-05-05;0.0;905.2;10.6;22.8;15.7;10.1;74.7;39.0;9.6;3.6;0;0;0;0.0;2010
5;2009-05-06;0.0;904.5;4.7;17.0;12.5;8.1;62.4;31.0;11.9;3.4;0;0;0;0.0;2010
6;2009-05-07;0.0;907.1;4.2;22.7;13.5;4.7;59.0;21.0;7.8;2.4;2;0;0;0.0;2010
7;2009-05-08;0.0;907.3;8.5;17.4;11.5;6.6;83.0;48.0;5.9;3.0;2;0;0;0.0;2010
8;2009-05-09;2.6;907.0;11.9;21.8;15.1;9.8;82.7;54.0;6.7;2.2;0;0;0;0.0;2010
9;2009-05-10;0.2;906.8;12.0;23.5;15.6;10.4;81.8;47.0;8.1;3.3;0;0;0;0.0;2010
10;2009-05-11;0.2;905.6;12.3;25.7;16.4;9.8;79.5;41.0;9.2;3.6;0;0;0;0.0;2010
11;2009-05-12;0.0;905.3;14.1;24.7;15.6;12.7;91.6;58.0;11.7;3.7;0;0;0;0.0;2010
12;2009-05-13;14.0;902.5;14.4;25.9;17.5;11.7;83.7;55.0;18.8;5.2;0;0;0;0.0;2010
13;2009-05-14;33.2;900.0;12.7;16.9;13.4;13.8;95.4;90.0;13.3;4.6;0;0;0;0.0;2010
14;2009-05-15;17.8;903.6;5.7;9.5;7.1;4.6;90.9;77.0;10.3;3.2;12;0;0;0.0;2010
15;2009-05-16;0.4;906.8;2.7;14.5;7.1;-0.1;77.9;33.0;6.0;1.6;14;0;0;0.0;2010
16;2009-05-17;0.0;908.0;5.6;19.7;10.9;4.4;73.4;30.0;10.7;4.6;10;0;0;0.0;2010
