;Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);QTD. DE HORAS DE FRIO (< 7.2°C), DIARIA (MAIO - AGOSTO);QTD. DE HORAS TEMP. IDEAL (18°C - 23 C°), DIARIA (SETEMBRO - ABRIL);QTD. DE HORAS TEMP. PREJUDICIAL (> 27 C°), DIARIA (SETEMBRO - ABRIL);PRECIPITACAO TOTAL, DIARIO (AUT)(mm) (SETEMBRO - ABRIL);SAFRA
0;2021-05-01;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
1;2021-05-02;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
2;2021-05-03;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
3;2021-05-04;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
4;2021-05-05;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
5;2021-05-06;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
6;2021-05-07;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
7;2021-05-08;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
8;2021-05-09;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
9;2021-05-10;4.2;906.5;11.4;22.5;15.6;10.8;79.6;49.0;9.7;2.9;0;0;0;0.0;2022
10;2021-05-11;4.2;906.5;11.4;22.5;15.6;10.8;79.6;91.0;4.8;2.9;0;0;0;0.0;2022
11;2021-05-12;4.2;908.2;7.3;16.3;10.3;7.1;84.2;50.0;5.0;1.2;0;0;0;0.0;2022
12;2021-05-13;0.2;910.9;4.7;18.2;8.6;2.2;81.4;31.0;6.3;2.1;13;0;0;0.0;2022
13;2021-05-14;0.0;910.7;6.2;18.8;10.1;2.7;80.0;40.0;8.0;2.6;9;0;0;0.0;2022
14;2021-05-15;0.0;909.6;8.2;18.2;10.9;5.1;85.5;54.0;6.5;2.3;4;0;0;0.0;2022
15;2021-05-16;0.2;909.0;9.8;18.6;12.6;7.0;84.3;58.0;7.1;2.1;0;0;0;0.0;2022
16;2021-05-17;0.2;907.9;8.2;17.6;11.2;7.2;83.7;47.0;9.1;1.9;0;0;0;0.0;2022
17;2021-05-18;0.0;908.1;5.9;17.2;10.0;4.2;79.3;36.0;6.7;1.3;5;0;0;0.0;2022
18;2021-05-19;0.0;906.6;3.0;19.2;10.0;1.3;66.7;28.0;7.3;2.1;8;0;0;0.0;2022
19;2021-05-20;0.0;905.3;6.5;19.6;11.3;5.5;73.5;47.0;5.1;1.5;3;0;0;0.0;2022
20;2021-05-21;6.2;902.3;12.0;22.1;14.2;9.8;88.1;55.0;8.6;2.6;0;0;0;0.0;2022
21;2021-05-22;50.2;899.9;12.6;19.5;14.1;11.3;91.6;64.0;11.6;4.8;0;0;0;0.0;2022
22;2021-05-23;0.0;902.4;5.3;13.0;8.4;5.2;81.9;58.0;16.5;7.0;9;0;0;0.0;2022
23;2021-05-24;0.0;905.8;3.1;10.9;6.6;4.4;79.0;60.0;14.4;4.1;16;0;0;0.0;2022
24;2021-05-25;0.0;909.0;0.9;17.6;7.3;-1.5;71.2;28.0;7.0;2.8;13;0;0;0.0;2022
25;2021-05-26;0.0;908.7;1.2;19.3;9.9;1.5;60.0;22.0;6.3;2.1;9;0;0;0.0;2022
26;2021-05-27;0.0;906.3;3.7;20.9;11.5;3.2;61.6;34.0;6.8;2.1;8;0;0;0.0;2022
27;2021-05-28;0.0;899.8;11.1;17.3;12.9;8.7;89.2;67.0;13.5;3.6;0;0;0;0.0;2022
28;2021-05-29;61.4;901.1;11.7;15.3;12.5;11.5;95.5;67.0;12.1;2.4;0;0;0;0.0;2022
29;2021-05-30;0.2;908.2;4.3;13.9;7.9;3.4;80.1;43.0;4.2;1.3;10;0;0;0.0;2022
